K,M,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
64,65536,Float32,Thrust,4289.416,65.939,4289.416,65.939
256,16384,Float32,Forge,701.5208015218377,1.595317362807691,719.0333095583469,0.9584888577306013
256,16384,Float32,CUB,11094.339,130.466,11094.339,130.466
256,16384,Float32,Thrust,4201.365,71.036,4201.365,71.036
1024,4096,Float32,Forge,781.1472052708268,4.936526021920145,799.8727095745504,4.472991656364346
1024,4096,Float32,CUB,2887.349,2.4250000000000003,2887.349,2.4250000000000003
1024,4096,Float32,Thrust,4188.571,50.153999999999996,4188.571,50.153999999999996
4096,1024,Float32,Forge,553.2335955649614,1.1908527184277773,575.9755982045681,7.410036807409549
4096,1024,Float32,CUB,819.08,6.627,819.08,6.627
4096,1024,Float32,Thrust,4278.359,57.001999999999995,4278.359,57.001999999999995
16384,256,Float32,Forge,1136.3896541297436,6.882768329232931,1159.3496303043066,8.165439066895619
16384,256,Float32,CUB,1306.341,8.122,1306.341,8.122
16384,256,Float32,Thrust,4181.28,30.901999999999997,4181.28,30.901999999999997
65536,64,Float32,Forge,1148.259174078703,5.958889201283455,1170.1236807073055,6.215115393855002
65536,64,Float32,CUB,1375.976,7.068,1375.976,7.068
65536,64,Float32,Thrust,4281.517,57.047,4281.517,57.047
262144,16,Float32,Forge,1178.363198414445,5.482037225738168,1282.7591468317805,31.6580425926351
262144,16,Float32,CUB,1808.832,12.3,1808.832,12.3
262144,16,Float32,Thrust,4276.212,50.525,4276.212,50.525
1048576,4,Float32,Forge,1200.858410447836,10.830000825226307,1304.8304268865586,18.01661842027404
1048576,4,Float32,CUB,4325.7029999999995,11.482,4325.7029999999995,11.482
1048576,4,Float32,Thrust,4190.932,25.711000000000002,4190.932,25.711000000000002
64,65536,Float64,Forge,1107.7727656811476,0.36528504453599453,1126.9422706241608,2.7117060013289658
64,65536,Float64,CUB,766.738,1.807,766.738,1.807
64,65536,Float64,Thrust,7.06798584e6,82628.693,7.06798584e6,82628.693
256,16384,Float64,Forge,1392.640033736825,6.80095718242228,1412.699527816862,5.400307783036492
256,16384,Float64,CUB,12625.402,198.285,12625.402,198.285
256,16384,Float64,Thrust,1.7928767089999998e6,26165.030000000002,1.7928767089999998e6,26165.030000000002
1024,4096,Float64,Forge,1818.9447931945324,11.888091657310724,1838.3228491532207,5.562786947389821
1024,4096,Float64,CUB,3389.372,33.908,3389.372,33.908
1024,4096,Float64,Thrust,453874.756,10851.533,453874.756,10851.533
4096,1024,Float64,Forge,4314.964637160301,2.5997304171323776,4333.695741552115,1.0717828263848168
4096,1024,Float64,CUB,4013.414,86.425,4013.414,86.425
4096,1024,Float64,Thrust,164465.988,9051.337,164465.988,9051.337
16384,256,Float64,Forge,4418.968036770821,37.97362759709358,4438.210573476792,1.8540329508300621
16384,256,Float64,CUB,3299.1510000000003,62.076,3299.1510000000003,62.076
16384,256,Float64,Thrust,41504.883,1323.421,41504.883,1323.421
65536,64,Float64,Forge,4486.951418220997,54.24776326864958,4538.6473577979805,39.65445220991113
65536,64,Float64,CUB,5779.320000000001,365.885,5779.320000000001,365.885
65536,64,Float64,Thrust,11263.956,511.32,11263.956,511.32
262144,16,Float64,Forge,4610.436782240868,29.756336510181427,4635.972753945351,4.68658038540899
262144,16,Float64,CUB,7922.211,528.899,7922.211,528.899
262144,16,Float64,Thrust,4872.857,81.729,4872.857,81.729
1048576,4,Float64,Forge,4585.015960037708,185.57640116661787,4611.48889180243,6.089765457854072
1048576,4,Float64,CUB,15498.278,212.512,15498.278,212.512
1048576,4,Float64,Thrust,3598.614,106.105,3598.614,106.105
64,65536,UInt8,Forge,168.3223992586136,0.7911172416061163,180.65389449985327,0.8398743357155936
64,65536,UInt8,CUB,335.86199999999997,1.546,335.86199999999997,1.546
64,65536,UInt8,Thrust,4437.307,201.36200000000002,4437.307,201.36200000000002
256,16384,UInt8,Forge,415.59278033673763,0.30480693094432354,430.2332745334804,3.9429656689662265
256,16384,UInt8,CUB,2708.842,2.382,2708.842,2.382
256,16384,UInt8,Thrust,4422.397,178.595,4422.397,178.595
1024,4096,UInt8,Forge,159.26399501040578,2.751702389214188,170.68449566747995,5.127584142147941
1024,4096,UInt8,CUB,712.078,2.353,712.078,2.353
1024,4096,UInt8,Thrust,4402.668000000001,154.507,4402.668000000001,154.507
4096,1024,UInt8,Forge,101.47760040126741,2.4041862424928695,109.1496018271055,0.2327680742635161
4096,1024,UInt8,CUB,205.537,2.574,205.537,2.574
4096,1024,UInt8,Thrust,4374.295,100.68599999999999,4374.295,100.68599999999999
16384,256,UInt8,Forge,147.12880365550518,0.3404137655161321,155.18080600579083,0.694611646368398
16384,256,UInt8,CUB,247.192,0.8170000000000001,247.192,0.8170000000000001
16384,256,UInt8,Thrust,4387.081,55.536,4387.081,55.536
65536,64,UInt8,Forge,157.42320683784783,1.3770421163644642,165.17520157294348,0.2579744070449103
65536,64,UInt8,CUB,279.626,0.9700000000000001,279.626,0.9700000000000001
65536,64,UInt8,Thrust,4340.878,31.690999999999995,4340.878,31.690999999999995
262144,16,UInt8,Forge,168.72879932634532,2.769505806500092,176.30380319768562,0.5204091571180067
262144,16,UInt8,CUB,298.06899999999996,1.0579999999999998,298.06899999999996,1.0579999999999998
262144,16,UInt8,Thrust,4329.294,29.843,4329.294,29.843
1048576,4,UInt8,Forge,174.93039485998452,3.877287417417392,187.53989686956257,2.0148561597626946
1048576,4,UInt8,CUB,1071.653,0.924,1071.653,0.924
1048576,4,UInt8,Thrust,4337.516,33.015,4337.516,33.015
